step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
1,676,4,1.7693761147142881,0.0,0.43902439024390244
2,1032,8,2.6144677958621405,0.0,0.3670886075949367
3,1356,12,1.924803664316034,0.0,0.47761194029850745
4,1616,16,2.262349974609569,0.0,0.34459459459459457
5,1908,20,1.842671232663342,0.0,0.42105263157894735
6,2328,24,1.7303981556605714,0.0,0.4553191489361702
7,2716,28,1.8785459024121336,0.0,0.4711111111111111
8,3072,32,1.7458146547531512,0.0,0.39893617021276595
9,3428,36,1.7590117273782513,0.0,0.39622641509433965
10,3688,40,2.1879324312641346,0.0,0.3333333333333333
11,3948,44,2.3231752192125628,0.0,0.4117647058823529
12,4304,48,1.377088804369189,0.0,0.4489795918367347
13,4692,52,1.9444657782551922,0.0,0.4212962962962963
14,5048,56,1.9225186484985335,0.0,0.44878048780487806
15,5532,60,1.5343196691417689,0.0,0.41232227488151657
16,5792,64,2.183971143638846,0.0,0.378698224852071
17,6116,68,2.040175519960023,0.0,0.4114285714285714
18,6504,72,1.570122428791098,0.0,0.415
19,6924,76,1.7330358779716855,0.0,0.452
20,7504,80,1.5535294001436963,0.0,0.40344827586206894
21,7764,84,2.6345845704528164,0.0,0.37244897959183676
22,8376,88,1.3196943232026501,0.0,0.44074074074074077
23,8828,92,2.0147819350254172,0.0,0.396078431372549
24,9184,96,1.9457364610723444,0.0,0.3786407766990291
25,9444,100,1.77032137215494,0.0,0.41721854304635764
26,9864,104,1.572878166045451,0.0,0.35678391959798994
27,10252,108,1.4475043948544286,0.0,0.45248868778280543
28,10576,112,1.2958756070768431,0.0,0.47126436781609193
29,10932,116,2.1227846299621955,0.0,0.38967136150234744
30,11224,120,1.3844177733789222,0.0,0.475
31,11516,124,1.3733197414661682,0.0,0.5176470588235295
32,11904,128,1.3938418898962242,0.0,0.4489795918367347
33,12324,132,1.4526666687116125,0.0,0.4915254237288136
34,12616,136,1.369249015766594,0.0,0.4551282051282051
35,13004,140,1.1142011618852363,0.0,0.5513513513513514
36,13328,144,1.4317738876330623,0.0,0.4583333333333333
37,13620,148,1.3058186645739536,0.0,0.4244604316546763
38,13912,152,1.938663147551316,0.0,0.4292682926829268
39,14236,156,1.3787250113734628,0.0,0.44171779141104295
40,14496,160,1.3484735543429451,0.0,0.4460431654676259
41,14852,164,1.8695393823810145,0.0,0.42452830188679247
42,15176,168,1.1638591834753569,0.0,0.5365853658536586
43,15596,172,1.0675802553922655,0.0,0.43243243243243246
44,15920,176,0.9924742931971524,0.0,0.5
45,16212,180,1.7213444376545892,0.0,0.4270833333333333
46,16568,184,1.7044923588837593,0.0,0.4369369369369369
47,16860,188,1.1416477039032167,0.0,0.5070422535211268
48,17184,192,1.5331945099700404,0.0,0.4482758620689655
49,17604,196,1.4185748141150698,0.0,0.46120689655172414
50,18024,200,1.1786770826101145,0.0,0.5411255411255411
51,18316,204,1.480982939901856,0.0,0.4166666666666667
52,18640,208,1.5687176982379822,0.0,0.4845360824742268
53,19028,212,1.3977689726218088,0.0,0.4577114427860697
54,19448,216,1.516289084999774,0.0,0.42424242424242425
55,19708,220,1.2821847427399782,0.0,0.5255474452554745
56,20128,224,1.6360972237683895,0.0,0.5017182130584192
57,20516,228,1.857450340052325,0.0,0.4311111111111111
58,20744,232,1.6227350646973535,0.0,0.3969465648854962
59,21068,236,1.4337331899301087,0.0,0.4607329842931937
60,21424,240,1.1859518511247173,0.0,0.4268292682926829
61,21780,244,1.2506962833785504,0.0,0.391025641025641
