step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
1,260,4,1.8329871758249758,0.0,0.4090909090909091
2,616,8,1.8437126811176099,0.0,0.40540540540540543
3,1068,12,1.633397890553102,0.0,0.41935483870967744
4,1552,16,1.5594354253566813,0.0,0.44672131147540983
5,1812,20,2.110826447735162,0.0,0.3987730061349693
6,2168,24,2.085677714068833,0.0,0.43724696356275305
7,2556,28,1.9750809702477206,0.0,0.4475806451612903
8,2816,32,1.7707971486652787,0.0,0.39316239316239315
9,3268,36,1.6762589690592666,0.0,0.5241635687732342
10,3624,40,1.7352609738227038,0.0,0.4380952380952381
11,3948,44,1.9805890466805287,0.0,0.38164251207729466
12,4208,48,1.8316959245414592,0.0,0.410958904109589
13,4436,52,2.3673200966952157,0.0,0.3716216216216216
14,4664,56,2.0424368069963696,0.0,0.47101449275362317
15,4988,60,1.923771182589131,0.0,0.37572254335260113
16,5216,64,2.4285468231341554,0.0,0.3357664233576642
17,5636,68,1.2453656803685116,0.0,0.5235602094240838
18,6056,72,1.6929996809358605,0.0,0.39195979899497485
19,6508,76,1.8070806176388123,0.0,0.4181184668989547
20,6832,80,1.595782581953379,0.0,0.49162011173184356
21,7156,84,1.4194294624772572,0.0,0.5088757396449705
22,7544,88,1.8300327945588286,0.0,0.4223300970873786
23,7868,92,2.0723957659074856,0.0,0.4057971014492754
24,8192,96,1.8195928557194712,0.0,0.46116504854368934
25,8516,100,1.6705892367577904,0.0,0.44
26,8904,104,1.403913736053992,0.0,0.4421052631578947
27,9260,108,1.635055048493715,0.0,0.4090909090909091
28,9776,112,1.0871153566900902,0.0,0.4954128440366973
29,10068,116,1.567984895459469,0.0,0.4827586206896552
30,10360,120,1.5675770199891303,0.0,0.4315068493150685
31,10716,124,1.4535248287876792,0.0,0.3869047619047619
32,11200,128,1.4695294998569182,0.0,0.4342629482071713
33,11652,132,1.1648075379527942,0.0,0.5242290748898678
34,11912,136,1.5996203056592457,0.0,0.33035714285714285
35,12236,140,1.1942623461979256,0.0,0.5030674846625767
36,12656,144,1.5241961295068793,0.0,0.4495798319327731
37,13012,148,1.9095857346024885,0.0,0.4279835390946502
38,13368,152,1.3320012589219419,0.0,0.449438202247191
39,13628,156,1.6996515666886944,0.0,0.4068965517241379
40,14112,160,1.1821082509402534,0.0,0.5134099616858238
41,14468,164,1.6138131581403121,0.0,0.45622119815668205
42,15016,168,1.2429184058995357,0.0,0.47843137254901963
43,15340,172,1.9300951710264393,0.0,0.37628865979381443
44,15792,176,1.066118260833551,0.0,0.39664804469273746
45,16308,180,1.303184296036939,0.0,0.5247524752475248
46,16760,184,1.2657156219977235,0.0,0.47950819672131145
47,17116,188,1.5791608480681703,0.0,0.4979253112033195
48,17536,192,1.3854952553284678,0.0,0.3864734299516908
49,17860,196,1.532914451955381,0.0,0.43333333333333335
50,18184,200,1.9717860233066566,0.0,0.39908256880733944
51,18572,204,1.04746238615523,0.0,0.5138121546961326
52,18896,208,1.3815694520960022,0.0,0.4451219512195122
53,19220,212,1.5250129972021098,0.0,0.4307692307692308
54,19576,216,1.2062506681445297,0.0,0.5
55,19964,220,1.408344862720101,0.0,0.4816326530612245
56,20384,224,1.5434985279539613,0.0,0.49387755102040815
57,20932,228,1.1483996058346821,0.0,0.4875444839857651
58,21320,232,1.1642546026316511,0.0,0.5053191489361702
59,21644,236,1.3643202717524257,0.0,0.49214659685863876
60,22064,240,1.40751096084337,0.0,0.4588744588744589
61,22420,244,1.8347282400028713,0.0,0.4345991561181435
62,22904,248,0.9803042240690217,0.0,0.5410628019323671
63,23324,252,1.6897925034496946,0.0,0.41245136186770426
64,23552,256,1.1109174102571757,0.0,0.5365853658536586
65,23972,260,1.5639989029004537,0.0,0.4462809917355372
66,24200,264,1.2268087222828021,0.0,0.44954128440366975
67,24556,268,1.4193121733980223,0.0,0.5023696682464455
68,25072,272,1.0680266524156994,0.0,0.4827586206896552
69,25524,276,1.1313770808580699,0.0,0.4977578475336323
70,25848,280,1.1909482272264555,0.0,0.5055555555555555
71,26140,284,1.0066751913433352,0.0,0.48148148148148145
72,26400,288,1.370267564543111,0.0,0.4794520547945205
73,26692,292,1.3828403072990565,0.0,0.48717948717948717
74,26984,296,1.3407863925187544,0.0,0.45294117647058824
75,27372,300,1.4400541067489219,0.0,0.4977973568281938
76,27760,304,1.2454022798251148,0.0,0.49047619047619045
77,28148,308,1.341170512836249,0.0,0.4637096774193548
78,28504,312,1.126025046284763,0.0,0.5329949238578681
79,28828,316,0.9699944283898987,0.0,0.3867924528301887
80,29120,320,1.3272180029624197,0.0,0.5294117647058824
81,29476,324,1.316523850207682,0.0,0.45320197044334976
82,29736,328,1.8243910653050714,0.0,0.42207792207792205
83,30060,332,1.6959559177094996,0.0,0.4511627906976744
84,30320,336,1.4598269431986044,0.0,0.49390243902439024
85,30612,340,1.5998749812619166,0.0,0.5120772946859904
86,30936,344,1.4281010564713736,0.0,0.4787234042553192
87,31260,348,1.34144518428429,0.0,0.432258064516129
88,31616,352,1.340060358569293,0.0,0.5073170731707317
89,31844,356,1.3547476426353475,0.0,0.4621212121212121
90,32200,360,1.3108367973206292,0.0,0.5051546391752577
91,32748,364,0.7542459990976144,0.0,0.5777777777777777
92,33072,368,1.4658930817797626,0.0,0.46994535519125685
93,33524,372,1.2941471582364752,0.0,0.46875
94,33912,376,1.0813413680130786,0.0,0.5
95,34204,380,1.6109657108764035,0.0,0.51010101010101
96,34720,384,1.224231412256916,0.0,0.5089605734767025
97,35108,388,1.4310920431536702,0.0,0.496
98,35560,392,1.2917558069609247,0.0,0.47950819672131145
99,35948,396,0.9942239026348761,0.0,0.5495049504950495
100,36400,400,1.0820953436040406,0.0,0.48598130841121495
101,36948,404,0.8406351515449545,0.0,0.5358851674641149
102,37400,408,1.243634807887954,0.0,0.4365482233502538
103,37820,412,1.1738936836489247,0.0,0.48130841121495327
104,38272,416,1.4120668272774322,0.0,0.5143884892086331
105,38660,420,1.6771550052982154,0.0,0.43478260869565216
106,39016,424,1.4990763949672172,0.0,0.478494623655914
107,39340,428,1.537798035973705,0.0,0.5238095238095238
108,39888,432,1.1573027658778152,0.0,0.48736462093862815
109,40276,436,1.5586281464167717,0.0,0.504
110,40632,440,1.4471313797975647,0.0,0.46153846153846156
111,41084,444,1.4461564121604675,0.0,0.4875444839857651
112,41408,448,1.2829887006321696,0.0,0.4659090909090909
113,41764,452,1.4866026954483955,0.0,0.45414847161572053
114,42184,456,1.5588516784631625,0.0,0.4594594594594595
115,42540,460,1.2784748892655882,0.0,0.48554913294797686
116,42832,464,1.338889062759105,0.0,0.48366013071895425
117,43188,468,0.9947416740919686,0.0,0.5735294117647058
118,43512,472,1.1336530328732024,0.0,0.4968152866242038
119,43964,476,1.5628258572617126,0.0,0.5149501661129569
120,44384,480,1.550788329288653,0.0,0.5074626865671642
121,44708,484,1.2746000952635583,0.0,0.4948453608247423
122,45032,488,1.53303394857963,0.0,0.47393364928909953
123,45452,492,1.4984259873686139,0.0,0.5169811320754717
124,45744,496,1.6747895048140913,0.0,0.4444444444444444
125,46292,500,1.1073713862264445,0.0,0.4782608695652174
126,46712,504,1.3222742774765768,0.0,0.481981981981982
127,47036,508,1.2406087355530062,0.0,0.4624277456647399
128,47456,512,0.993042850973722,0.0,0.5238095238095238
129,47780,516,1.2700349255895147,0.0,0.4720812182741117
130,48296,520,0.8244539959665235,0.0,0.5758928571428571
131,48684,524,1.1666607486217133,0.0,0.44021739130434784
132,49104,528,1.6981184774410543,0.0,0.43529411764705883
133,49492,532,1.5386753226233767,0.0,0.43568464730290457
134,49944,536,1.4572208225774517,0.0,0.45660377358490567
135,50236,540,1.0937913505905414,0.0,0.5207100591715976
136,50464,544,1.352634658838454,0.0,0.49230769230769234
137,50820,548,1.4925640399401787,0.0,0.4789915966386555
138,51048,552,1.2694200151831345,0.0,0.48201438848920863
139,51500,556,0.9121471156262501,0.0,0.5633802816901409
140,51760,560,1.145329338258855,0.0,0.5374149659863946
141,52148,564,1.4128996858902836,0.0,0.5074074074074074
