step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,100,4,0.903955868013345,0.0,0.0,1.1743553368204993,0.0,0.0,,
2,168,8,1.2428779357889561,0.0,0.0,,,,,
3,300,12,0.4993908211720828,0.0,0.0,,,,,
4,368,16,0.688126619464274,0.0,0.0,,,,,
5,468,20,0.26153000545508504,0.0,0.0,,,,,
6,568,24,0.29765842528470476,0.0,0.0,,,,,
7,668,28,0.24611792069025493,0.0,0.0,,,,,
8,736,32,0.37167148665728744,0.0,0.0,,,,,
9,804,36,0.3618360802577808,0.0,0.0,0.3560164013598114,0.0,0.0,,
10,872,40,0.35727641645760744,0.0,0.0,,,,,
11,972,44,0.20805682503773518,0.0,0.0,,,,,
12,1072,48,0.3712953306439643,0.0,0.0,,,,,
13,1172,52,0.22315009047432488,0.0,0.0,,,,,
14,1272,56,0.2299313865850369,0.0,0.0,,,,,
15,1372,60,0.2821940699382685,0.0,0.0,,,,,
16,1472,64,0.25806998343905435,0.0,0.0,,,,,
17,1572,68,0.2391614196835629,0.0,0.0,0.33546744865132494,0.0,0.0,,
18,1640,72,0.3707677043043077,0.25,0.25,,,,,
19,1740,76,0.2518651935441691,0.0,0.0,,,,,
20,1808,80,0.3544492842331238,0.0,0.0,,,,,
21,1876,84,0.3988084336183965,0.0,0.0,,,,,
22,1976,88,0.23417080237452562,0.0,0.0,,,,,
23,2076,92,0.2323802850752448,0.0,0.0,,,,,
24,2144,96,0.3250824291468598,0.0,0.0,,,,,
25,2212,100,0.3792823203955777,0.0,0.0,0.3429288514214568,0.0,0.0,,
26,2312,104,0.23430618186403687,0.0,0.0,,,,,
27,2412,108,0.23171489573704698,0.0,0.0,,,,,
28,2480,112,0.3726059471699409,0.0,0.0,,,,,
29,2580,116,0.24322186940737692,0.0,0.0,,,,,
30,2680,120,0.23175611420379336,0.0,0.0,,,,,
31,2780,124,0.22283006192864074,0.0,0.0,,,,,
32,2880,128,0.22477019462288203,0.0,0.0,,,,,
33,2980,132,0.22065807750749325,0.0,0.0,0.3673039795741352,0.0,0.0,,
34,3080,136,0.2753139938735694,0.0,0.0,,,,,
35,3212,140,0.17970963523759564,0.0,0.0,,,,,
36,3280,144,0.33861425392668026,0.0,0.0,,,,,
37,3348,148,0.3455773162742117,0.0,0.0,,,,,
38,3448,152,0.24416388370316175,0.0,0.0,,,,,
39,3548,156,0.25406117093880315,0.0,0.0,,,,,
40,3616,160,0.3687019182934546,0.0,0.0,,,,,
41,3684,164,0.3861933013732414,0.0,0.0,0.39168437725922556,0.0,0.0,,
42,3784,168,0.2506452592621826,0.0,0.0,,,,,
43,3884,172,0.23003222501506268,0.0,0.0,,,,,
44,3984,176,0.23213851772117777,0.0,0.0,,,,,
45,4052,180,0.3390921434201936,0.0,0.0,,,,,
46,4152,184,0.23020423326362413,0.0,0.0,,,,,
47,4220,188,0.37174867293632813,0.0,0.0,,,,,
48,4320,192,0.21476661125056126,0.0,0.0,,,,,
49,4420,196,0.2616363047350387,0.0,0.0,0.321111154090313,0.0,0.0,,
50,4488,200,0.3065604012310177,0.0,0.0,,,,,
51,4588,204,0.2458782028935396,0.0,0.0,,,,,
52,4656,208,0.36145291341477787,0.0,0.0,,,,,
53,4724,212,0.37415248177928334,0.0,0.0,,,,,
54,4792,216,0.33272680373369895,0.0,0.0,,,,,
55,4892,220,0.25245445483309287,0.0,0.0,,,,,
56,4992,224,0.2168429130480278,0.0,0.0,,,,,
57,5092,228,0.23126820250732638,0.0,0.0,0.3337172364251819,0.0,0.0,,
58,5192,232,0.255420846807004,0.0,0.0,,,,,
59,5292,236,0.23907113774528624,0.0,0.0,,,,,
60,5360,240,0.3509139482871615,0.0,0.0,,,,,
61,5428,244,0.38657418037019853,0.0,0.0,,,,,
62,5528,248,0.23259081172405785,0.0,0.0,,,,,
63,5628,252,0.24469076728843597,0.0,0.0,,,,,
64,5696,256,0.33098048405061486,0.0,0.0,,,,,
65,5796,260,0.2256546480244045,0.25,0.25,0.3283109815992066,0.0,0.0,,
66,5896,264,0.23766850520177588,0.25,0.25,,,,,
67,5996,268,0.2621999744833617,0.0,0.0,,,,,
68,6096,272,0.22248508175810153,0.0,0.0,,,,,
69,6196,276,0.22185225167885314,0.0,0.0,,,,,
70,6296,280,0.22006964171290747,0.25,0.25,,,,,
71,6396,284,0.21626139493631247,0.0,0.0,,,,,
72,6464,288,0.34202615027190403,0.0,0.0,,,,,
73,6532,292,0.3528798796958835,0.0,0.0,0.35151460324417716,0.0,0.0,,
74,6632,296,0.22862723889884362,0.0,0.0,,,,,
75,6732,300,0.22786456907753747,0.0,0.0,,,,,
76,6800,304,0.31693269968798626,0.0,0.0,,,,,
77,6900,308,0.2162305041390088,0.0,0.0,,,,,
78,7000,312,0.24898074155992314,0.0,0.0,,,,,
79,7100,316,0.24041355290421054,0.0,0.0,,,,,
80,7232,320,0.17368036903402753,0.0,0.0,,,,,
81,7332,324,0.22121090860625067,0.0,0.0,0.332627155330265,0.0,0.0,,
82,7432,328,0.22278672607513728,0.0,0.0,,,,,
83,7532,332,0.23344066928640436,0.0,0.0,,,,,
84,7632,336,0.2232774842970442,0.0,0.0,,,,,
85,7732,340,0.22218530989829255,0.0,0.0,,,,,
86,7832,344,0.22541324716568245,0.0,0.0,,,,,
87,7932,348,0.24340271164454555,0.0,0.0,,,,,
88,8032,352,0.2523611354638706,0.0,0.0,,,,,
89,8132,356,0.209731105670265,0.0,0.0,0.3068053180781135,0.0,0.0,,
90,8200,360,0.29802922365059203,0.0,0.0,,,,,
91,8300,364,0.21224519265810768,0.0,0.0,,,,,
92,8400,368,0.2226233662934101,0.0,0.0,,,,,
93,8532,372,0.17620241243905185,0.0,0.0,,,,,
94,8600,376,0.36038274049413305,0.0,0.0,,,,,
95,8668,380,0.347718810566148,0.0,0.0,,,,,
96,8768,384,0.1904872185393712,0.0,0.0,,,,,
97,8868,388,0.20875075420135547,0.0,0.0,0.3026215453595796,0.0,0.0,,
98,8936,392,0.3623382588894492,0.0,0.0,,,,,
99,9004,396,0.2904398072282583,0.0,0.0,,,,,
100,9072,400,0.35949630141189115,0.0,0.0,,,,,
101,9172,404,0.21104206470901163,0.0,0.0,,,,,
102,9240,408,0.29025376225168653,0.25,0.25,,,,,
103,9340,412,0.20695965011043882,0.0,0.0,,,,,
104,9440,416,0.2162810658849048,0.0,0.0,,,,,
105,9508,420,0.33902222572523893,0.0,0.0,0.3751341704052902,0.0,0.0,,
106,9608,424,0.212910830888286,0.0,0.0,,,,,
