step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
1,292,4,1.924250561355014,0.0,0.4382716049382716
2,648,8,1.9471306059382565,0.0,0.38333333333333336
3,1036,12,2.178510934766367,0.0,0.45112781954887216
4,1392,16,1.8755878073526153,0.0,0.46919431279620855
5,1812,20,1.9024153574913656,0.0,0.3157894736842105
6,2232,24,1.9336626877359875,0.0,0.38207547169811323
7,2716,28,1.6005275778505674,0.0,0.43722943722943725
8,3104,32,1.7628545666087154,0.0,0.38967136150234744
9,3460,36,2.190938781918782,0.0,0.34684684684684686
10,3720,40,1.9040978979759688,0.0,0.4444444444444444
11,4076,44,2.6254150782231878,0.0,0.43911439114391143
12,4464,48,2.0606469032882915,0.0,0.4194915254237288
13,4724,52,1.9892678573109652,0.0,0.4068965517241379
14,5176,56,1.454311314315902,0.0,0.45689655172413796
15,5628,60,1.9097210333979788,0.0,0.390625
16,5888,64,1.816545784756272,0.0,0.3900709219858156
17,6180,68,1.780699041501737,0.0,0.3878787878787879
18,6408,72,1.940922838326951,0.0,0.39855072463768115
19,6828,76,1.3639512906964144,0.0,0.3862433862433862
20,7216,80,1.5638526493865175,0.0,0.372972972972973
21,7476,84,2.145520644689459,0.0,0.3546511627906977
22,7768,88,2.043509229569633,0.0,0.3812154696132597
23,8220,92,1.518627811891056,0.0,0.43043478260869567
24,8576,96,1.3933321163439731,0.0,0.4046242774566474
25,8996,100,1.1665728692099555,0.0,0.3888888888888889
26,9352,104,1.684210487864442,0.0,0.4021164021164021
27,9740,108,1.4833332747610501,0.0,0.435
28,10160,112,1.4733130115931046,0.0,0.4320388349514563
29,10580,116,1.742548868595103,0.0,0.42016806722689076
30,10904,120,1.4026041133035905,0.0,0.46808510638297873
31,11228,124,2.1564067489201255,0.0,0.43043478260869567
32,11488,128,1.7648727361569765,0.0,0.49171270718232046
33,11876,132,1.5371950973240642,0.0,0.4175257731958763
34,12200,136,1.6661457572175422,0.0,0.45454545454545453
35,12620,140,1.3155341731680474,0.0,0.40331491712707185
36,12912,144,1.5171432511093252,0.0,0.43902439024390244
37,13460,148,1.263789897522626,0.0,0.4738955823293173
38,13720,152,1.3351833507217998,0.0,0.4230769230769231
39,14300,156,1.1714700756376504,0.0,0.4177215189873418
40,14688,160,1.4469426847876277,0.0,0.45685279187817257
41,15236,164,1.437433737157264,0.0,0.505338078291815
42,15912,168,1.0255337526527832,0.0,0.43661971830985913
43,16268,172,1.4875086451243507,0.0,0.45161290322580644
44,16624,176,2.023931186393089,0.0,0.4411764705882353
45,16884,180,1.6726669660368567,0.0,0.4759036144578313
46,17240,184,0.9733556773392575,0.0,0.48026315789473684
47,17628,188,1.7735137820766766,0.0,0.4063926940639269
48,17920,192,1.9137916580633059,0.0,0.4619289340101523
49,18308,196,1.4862807303272711,0.0,0.484304932735426
50,18696,200,1.3015823450037651,0.0,0.42245989304812837
51,19052,204,1.45260925319062,0.0,0.41975308641975306
52,19376,208,1.6868064173306412,0.0,0.4134078212290503
53,19700,212,1.2064570371863566,0.0,0.45454545454545453
54,20184,216,1.1221536743566902,0.0,0.4782608695652174
55,20444,220,2.036285851718553,0.0,0.36774193548387096
56,20832,224,1.8942933622110376,0.0,0.42
57,21220,228,1.66385345706899,0.0,0.4207920792079208
58,21512,232,1.327758921327392,0.0,0.47101449275362317
59,21932,236,1.5293281408940902,0.0,0.41626794258373206
60,22288,240,1.346830049718263,0.0,0.4388888888888889
61,22548,244,1.7597076860217382,0.0,0.47305389221556887
62,22904,248,1.6484125930933906,0.0,0.46411483253588515
63,23260,252,1.5307693362542905,0.0,0.42473118279569894
64,23616,256,2.13962896081126,0.0,0.4048582995951417
65,23972,260,1.88331883447868,0.0,0.3247422680412371
66,24360,264,1.5146175560732082,0.0,0.4205128205128205
67,24620,268,1.312961028113782,0.0,0.4855072463768116
68,24912,272,1.5024995964011254,0.0,0.3829787234042553
69,25236,276,1.187427630629638,0.0,0.47019867549668876
