prompt,completion
"What is your name?

###

", 1
"May I know your name?

###

", 1
"Could you tell me your name?

###

", 1
"How can I address you?

###

", 1
"Your name, please?

###

", 1
"What should I call you?

###

", 1
"Who am I speaking with?

###

", 1
"What name do you go by?

###

", 1
"Do you have a name?

###

", 1
"What's in a name? Could you tell me yours?

###

", 1
"How should I introduce you?

###

", 1
"May I have the pleasure of knowing your name?

###

", 1
"Would you mind sharing your name with me?

###

", 1
"What's the name given to you?

###

", 1
"May I inquire about your name?

###

", 1
"Could you please enlighten me with your name?

###

", 1
"What do people call you?

###

", 1
"What's the title I should use to refer to you?

###

", 1
"How do you identify yourself?

###

", 1
"What can I call you by?

###

", 1
"What's your identification name?

###

", 1
"What are you called?

###

", 1
"How do you introduce yourself?

###

", 1
"What should I say when I address you?

###

", 1
"Can you lend me a hand?

###

", 2
"Would you be able to assist me?

###

", 2
"I need some assistance, can you provide help?

###

", 2
"Do you have a moment to aid me?

###

", 2
"Could you offer your support?

###

", 2
"Is there any way you could help me?

###

", 2
"May I ask for your help?

###

", 2
"Would it be possible for you to assist me?

###

", 2
"I'm in need of your help, can you help me?

###

", 2
"Are you available to lend me some help?

###

", 2
"Might you be able to help me out?

###

", 2
"Can you give me a hand?

###

", 2
"Would it be too much to request your help?

###

", 2
"I need a bit of help, would you be willing?

###

", 2
"Could you spare some time to help me out?

###

", 2
"Are you able to help me with something?

###

", 2
"Would you mind helping me out?

###

", 2
"Is there any chance you could help me?

###

", 2
"Can I count on you for some assistance?

###

", 2
"I could use some help, can you help me out?

###

", 2
"Would you be kind enough to assist me?

###

", 2
"Are you available to help me right now?

###

", 2
"Can you extend any help to me?

###

", 2
"Is it okay to ask for your help?

###

", 2
"Can you offer any assistance to me?

###

", 2
"What is your age?

###

", 3
"How many years have you been alive?

###

", 3
"Tell me your age please.

###

", 3
"May I know how old you are?

###

", 3
"What's the duration of your existence?

###

", 3
"Can you reveal your age?

###

", 3
"How long have you been on this earth?

###

", 3
"Give me an idea of how old you are.

###

", 3
"How many years have passed since you were born?

###

", 3
"What's your current age?

###

", 3
"What is the length of time you have lived?

###

", 3
"Could you inform me of your age, please?

###

", 3
